Elegy	War, Inc.
Diggers	Where the Wild Things Are
Jesse Stone: Death in Paradise	The Fountain
Deception	Happy Feet
Christmas Mail	The Tooth Fairy
Red Herring	The Family
Murder Book	The Dead Girl
Fatal Desire	Final Approach
Scooby-Doo! Legend of the Phantosaur	The Jimmy Timmy Power Hour
Iron Man 2	The Sunset Limited
Glass Trap	Zolar: The Extreme Sports Movie
Driftwood	Surf School
Christmas in Compton	Synecdoche
Blood Diamond	Happy Birthday Oscar Wilde
Just Add Water	The Conspirator
No. 5 the Film	The Golden Compass
Taphephobia	The Boys of Ghost Town
Asylum	Big Ass Spider
Tenure	The Comebacks
Blank City	Youth in Revolt
Before I Sleep	Taco Shop
Mr. Woodcock	On the Line
Knight and Day	Where the Wild Things Are
10 Years	Half Nelson
Bigger Than the Sky	Part Two: The Warm Mission
The Muppets	Valley of Angels
The Good Life	Vantage Point
Racing Daylight	Temple Grandin
Elf Sparkle and the Special Red Dress	Play the Game
How to Be a Hollywood Player in Less Than Ten Minutes	Wreck-It Ralph
Machine	Whiskey Bay
A View from the Bridge	Joshua
Disciples	Grindhouse
2B	The New Tenants
Miracle Underground	The Ultimate Enemy
Corpse Bride	Pirates of the Caribbean: At World's End
Operation: Endgame	The Muppets
A Many Splintered Thing	The Losers
Dear Lemon Lima	From Other Worlds
Andre the Butcher	Homo Erectus
Casanova	The Pink Panther 2
R.I.P.D.	The Door in the Floor
Alvin and the Chipmunks: Chipwrecked	Hoodwinked Too! Hood vs. Evil
Shall We Dance?	The Greatest
10.5: Apocalypse	Dirty Little Trick
Gangster Squad	Into the Blue
Dead Man Down	The Hunting Party
Barnyard	Night Train
Dead Lenny	Gamers: The Movie
Harsh Times	Wannabes
Shelter	The Private Lives of Pippa Lee
Couples Retreat	Disconnect
Herpes Boy	Rango
SpongeBob's Truth or Square	The Haunted World of El Superbeasto
Love Ranch	The Beautiful Country
Alien Lockdown	From a Place of Darkness
Secrets of the Dead: China's Terracotta Warriors	The Manchurian Candidate
A New Wave	Premium
Breakin' All the Rules	Rio
Seven Psychopaths	The Stepford Wives
Jack Reacher	Mission: Impossible III
Everything Must Go	The Landlord
American Hustle	Standing Still
Annie Claus is Coming to Town	Ride or Die
The Rambler	Zodiac
Little Boy	Michael Clayton
Dreamer	Hounddog
A.C.O.D.	The Ten
Alexander	Percy Jackson &amp; the Olympians: The Lightning Thief
After.Life	The A-Team
Around the Bend	Wake Up, Ron Burgundy: The Lost Movie
Cloud Atlas	Mr. &amp; Mrs. Smith
Love &amp; Debate	The Witches of Oz
Being Flynn	The Other Side
Untitled Rob Schneider project	Wild Cherry
Captain America: The First Avenger	Ticking Clock
Death by Engagement	The Iceman
The Departed	The Informant!
Americanizing Shelley	Spinning into Butter
Poor Things	Rent
