Elegy	War, Inc.
Little Fish, Strange Pond	Whore
The Great Buck Howard	Warm Bodies
Family Practice	Game Time: Tackling the Past
Tennis Anyone?	Through the Valley
Beyond All Boundaries	Elegy
Elysium	The Good Shepherd
Blackstone	Spider-Man 2
G-Force	Saint John of Las Vegas
Funky Monkey	The ChubbChubbs Save Xmas
The Fourth Dimension	The Traveler
Emotional Arithmetic	For Love of Liberty: The Story of America's Black Patriots
Leroy &amp; Stitch	The Wizzard of Krudd
Capote	The Hunger Games: Catching Fire
A Beginner's Guide to Endings	Aliens in the Attic
Starz Inside: Unforgettably Evil	The Men Who Stare at Goats
Starsky &amp; Hutch	The Heartbreak Kid
Grindhouse	Pastor Shepherd
It's Kind of a Funny Story	The Campaign
Night of the Living Dead: Origins 3D	The Absence of Light
Hall Pass	Turbo
Sunshine	Welcome to the Punch
Grand Piano	The Passage
FDR: American Badass!	Halloween II
Rampart	The Island
Honor Deferred	Oldboy
A Single Shot	Marmaduke
Away We Go	Our Very Own
Home of the Brave	Soul Men
Little Fish, Strange Pond	The Auteur
My Dog Tulip	The New World
Elysium	The People Speak
51	Whiskey Bay
Felony	The Last Kiss
The Last Sentinel	The Under Shepherd
Ghost Rider: Spirit of Vengeance	The Human Contract
Into the Blue	No Country for Old Men
Homefront	Shadows and Lies
Grown Ups 2	The Messenger
Corrado	Cousin Sarah
Cold Souls	Kisses Over Babylon
3 Holiday Tails	Munger Road
7 Mummies	Gamer
Pastor Jones: The Complete First Season	Shark City
Freaky Deaky	Untraceable
Adventures of Power	Spring Breakdown
Taking Chances	Zac Efron's Pool Party
Good Day for It	Strange Wilderness
People Like Us	The Ballad of G.I. Joe
Kill Bill Volume 2	Pastor Jones: The Complete First Season
Bolt	Easy A
Like Crazy	Vicky Cristina Barcelona
Joshua Tree	The Lion of Judah
High Road	I'll Believe You
American Gun	Home
Insidious: Chapter 2	Lakeview Terrace
Bed &amp; Breakfast	Kill Katie Malone
The Batman vs. Dracula	The Little Engine That Could
Red Lights	W.
Bluebird	Million Dollar Baby
Death Row	Machete
Freelancers	Tooth and Nail
Are You Scared 2	Scarecrow Slayer
I Think I Love My Wife	Rampart
Deadfall	I'm Not There
Registered Sex Offender	Some Guy Who Kills People
Lonesome Jim	Staten Island
Anchorman: The Legend of Ron Burgundy	Thanks for Sharing
Hijacked	Tooth and Nail
Beyond All Boundaries	To Rome with Love
Rock Slyde	The Butcher
The Dilemma	Zac Efron's Pool Party
Be Cool	Snitch
Chill Out, Scooby-Doo!	The Powerpuff Girls Rule!!!
The Girl Next Door	The Good Heart
Lionhead	Stitch in Time
Being Flynn	Greetings from Tim Buckley
Cyrus	Night at the Museum: Battle of the Smithsonian
Cloud Atlas	Tall Justice
Minotaur	The Graves
Breaking and Entering	The Private Lives of Pippa Lee
8	Jayne Mansfield's Car
Frankenstein	The Saints of Mt. Christopher
A Very Harold &amp; Kumar 3D Christmas	Tarantula
Daybreakers	Go Go Tales
Fantastic Mr. Fox	The Jesuit
Slightly Single in L.A.	What If God Were the Sun?
The Dark Knight	We the People
Cop Out	Wake Up, Ron Burgundy: The Lost Movie
Fun with Dick and Jane	The Rum Diary
Breathless	Killing Them Softly
Dark Assassin	Underground Entertainment: The Movie
2012	The Garden
Hairspray	Robot and Frank
9	Fight for Your Right Revisited
Poolboy: Drowning Out the Fury	The Crow: Wicked Prayer
Don Jon	The Island
Pineapple Express	The Toe Tactic
Happy Tears	The Afterlight
Justin Time	Toxic
Carlito's Way: Rise to Power	Racing Daylight
Happy Endings	Romance &amp; Cigarettes
I'm Rick James	Stone &amp; Ed
Stolen	Two Jacks
Lucky You	My Son, My Son, What Have Ye Done?
Preacher's Kid	Vicious Circle
Saw VII	The Devil's Carnival
Dante's Inferno Documented	Hollywood Dreams
The Uninvited	The Whistleblower
Fairy Idol	The Last White Dishwasher
Oh, What a Lovely Tea Party	The Bourne Supremacy
In the Electric Mist	Step Brothers
Behind Enemy Lines II: Axis of Evil	Chain Letter
A Late Quartet	A Most Wanted Man
Lost Treasure of the Maya	When I Find the Ocean
A Uniform Used to Mean Something...	Open Season
I Know Who Killed Me	Machine
Lego: The Adventures of Clutch Powers	The Land Before Time XII: The Great Day of the Flyers
Astro Boy	Seeking Justice
G-Force	World Trade Center
Storm Cell	The Beacon
Home Game	Nature Calls
The Streets of the Invisibles	You, Me and Dupree
Broken Flowers	Sound of Mind
J. Edgar	Tell-Tale
For a Good Time, Call . . .	Lumpy
Street Fighter: The Legend of Chun-Li	The Prototype
2001 Maniacs	Hate Crime
Wake Up, Ron Burgundy: The Lost Movie	You Are Here
Falling Up	The Big Bang
Cassandra's Dream	London Boulevard
Feast of Love	The Twilight Saga: Breaking Dawn - Part 1
Drunk History: Douglass &amp; Lincoln	Presidential Reunion
The Interpreter	The Stepford Wives
Alpha and Omega	Five Minarets in New York
Anchorman: The Legend of Ron Burgundy	On Bloody Sunday
Glory Road	The Trial
Rites of Passage	The Iceman
Forgetting Sarah Marshall	Purple Violets
G-Force	Puss in Boots
27 Dresses	Barry Munday
Man on a Ledge	Winter Passing
Grand Champion	The Cold Light of Day
Night at the Museum: Battle of the Smithsonian	Underdog
Croc	The Bleeding
To Rome with Love	Under the Boardwalk: The Monopoly Story
Ghost Town	One Night Only
Fireflies in the Garden	The Croods
Happy Birthday Harris Malden	Semi-Pro
Bickford Shmeckler's Cool Ideas	Howard Cantour
Mickey, Donald, Goofy: The Three Musketeers	Scooby-Doo! Curse of the Lake Monster
Another Cinderella Story	The Hammer
Catch That Kid	Mozart and the Whale
Checking Out	The Strange Case of Dr. Jekyll and Mr. Hyde
The 5th Quarter	The Big Valley
Fifty Pills	Scream 4
Harry Potter and the Deathly Hallows ? Part 2	Nanny McPhee and the Big Bang
Murder-Set-Pieces	The Strange Case of Dr. Jekyll and Mr. Hyde
Horton Hears a Who!	The Spiderwick Chronicles
Booster	Pass the Salt, Please
Stranger than Fiction	The Other Guys
Open Road	The Red Canvas
Management	Shrek the Third
Hemingway &amp; Gellhorn	Margot at the Wedding
Astro Boy	Spartan
American Crude	You May Not Kiss the Bride
Hoboken Hollow	The Jailhouse
Bigfoot	Passengers
Ice Age: Dawn of the Dinosaurs	Year One
Death Row	Justin Time
Ocean's Twelve	The Departed
Arthur Newman	Bridget Jones: The Edge of Reason
Alvin and the Chipmunks: Chipwrecked	Kung Fu Panda
Deep in the Heart	Player 5150
Beyond All Boundaries	Easy A
Harold &amp; Kumar Go to White Castle	Lilly's Light
Christmas Is Here Again	Fred Claus
DodgeBall: A True Underdog Story	This Might Hurt
Employee of the Month	Street Kings
Clifford's Really Big Movie	The Year Without A Santa Claus
Anchorman 2: The Legend Continues	Cheap Thrills
Filly Brown	The Bucket List
The Devil's Tomb	The Graves
Admissions	Bereavement
8 of Diamonds	Final Approach
Filly Brown	Red Sands
Beer League	The Wendell Baker Story
Duplicity	Saving Mr. Banks
Midnight in Paris	Valentine's Day
All Things Fall Apart	Local Color
The Hoax	The Invisible
Talladega Nights: The Ballad of Ricky Bobby	The Other Guys
Nursie	The Stolen Moments of September
Cat Tale	Yonkers Joe
Delgo	Hardwired
Live Free or Die Hard	The Whole Ten Yards
Gun	The Lazarus Papers
Absolute Evil	Dark Fields
The Sisters	Turn the River
Synecdoche	The Chronicles of Riddick: Dark Fury
Battle in Seattle	The Details
Elf Bowling: The Movie	SpongeBob vs. The Big One
Border Blues	The Dark Knight
Fifty Pills	Suffering Man's Charity
Conspiracy	Stateside
Cedar Rapids	Peace on Earth/Little Drummer Boy
Admissions	I'm Coming Over
Breaking and Entering	Joshua
Fracture	Hitchcock
Old Dogs	RV
Extremely Loud and Incredibly Close	The Internship
10 Years	Just Add Water
Paul	Superhero Movie
Duplicity	Sideways
The Jimmy Timmy Power Hour	Tom and Jerry Blast Off to Mars
Good Time Max	Palo Alto
Butter	House of Bones
Death Sentence	The Woodsman
Lost Revolution	The Fighter
Serbian Scars	Sin City
After.Life	Walk Hard: The Dewey Cox Story
Senior Skip Day	Twilight
Come Early Morning	Saint John of Las Vegas
I'm Not There	The Last Photograph
Blood Out	Righteous Kill
The Skeptic	The Year of Getting to Know Us
Repo! The Genetic Opera	The Devil's Tomb
Exodus Fall	Little Red Devil
Neverwas	Source Code
Back in the Day	Noise
Rock Slyde	The Ruining
Bad Teacher	Heights
Big Breaks	Hot Fuzz
Harsh Times	Who's Your Caddy?
Black Water Transit	The Passage
Cop Out	Grindhouse
Mrs. Harris	The Matador
DC Showcase: Jonah Hex	The Lena Baker Story
Dwegons	Olympus Has Fallen
Not Another Not Another Movie	Year One
Beethoven's Christmas Adventure	The Skeptic
Kick-Ass	The Way Back
Hired Gun	Lionhead
Pride and Glory	Stone
Funky Monkey	Paul
Igor	Without Men
Fairy Idol	SpongeBob's Atlantis SquarePantis
Goon	Love in the Time of Cholera
Chillerama	The L.A. Riot Spectacular
Catch .44	Setup
Cars	How Do You Know
Dark and Stormy Night	The Lost Skeleton Returns Again
A Case of You	The Internship
Blue Caprice	Child of God
R.I.P.D.	The Men Who Stare at Goats
Beerfest	The Story of Bonnie and Clyde
Batman: The Dark Knight Returns, Part 2	Happy Feet
The Brooklyn Brothers Beat the Best	Veronika Decides to Die
Our Idiot Brother	The Return
All About Steve	The Artist
Dolphin Tale	The Wendell Baker Story
Fast Lane	Last I Heard
Judas	The Least of These
Battle in Seattle	Out of the Furnace
Bad Lieutenant: Port of Call New Orleans	Trespass
Bunraku	Sleepwalking
Cool Dog	My Mom's New Boyfriend
Domino	The Stepford Wives
All Souls Day	Furnace
Dead Man Down	The Princess and the Frog
Beautiful Creatures	Inland Empire
Abduction	The Mummy - Tomb of the Dragon Emperor
A Christmas Too Many	Comedy Central Roast of William Shatner
My Future Boyfriend	Wake Up, Ron Burgundy: The Lost Movie
Hesher	Looper
In the Hive	Kung Fu Panda
Pandorum	Twilight
Remarkable Power	The Kid &amp; I
It's Kind of a Funny Story	The Biggest Schmucks in the World
Greenberg	Night at the Museum
Big Sur	Poseidon
Few Options	Midnight in Paris
Greetings from Tim Buckley	Shadowheart
Crazy on the Outside	The Son of No One
Ball Don't Lie	Bottled Up
Sherrybaby	The Crow: Wicked Prayer
Soul Theater Series: The Fabric of a Man	Street Kings
All Things Fall Apart	Hoodz: Street Armageddon
Deadfall	For Sale by Owner
Brooklyn's Finest	Hotel for Dogs
Freedomland	Vengeance: A Love Story
I Am Legend	Shark Tale
Say Hello to Stan Talmadge	The Jack of Spades
Happy Feet	The Big White
Behind Enemy Lines II: Axis of Evil	Murdock
Escape from Planet Earth	We the Peeples
Proof	RED 2
Supercross	We Are Marshall
Shutter Island	The Woods
The Cloth	The Crow: Wicked Prayer
(500) Days of Summer	50/50
Down the P.C.H.	The Hillside Strangler
Elmo's Christmas Countdown	School for Scoundrels
2 Guns	Inside Man
Ondine	The Good German
North Country	The Kingdom
King of the Elves	Transformers Animated: Transform and Roll Out
Justice League: Crisis on Two Earths	Passengers
Labor Pains	Sunny and Share Love You
Saving Mr. Banks	Small Fry
Inglourious Basterds	Soul Men
A Late Quartet	Small Fry
August Rush	Noel
All Good Things	People Like Us
Flight	The Pool Boys
Pennhurst	The Marine 2
Light and the Sufferer	The Good Heart
Hard Pill	Rango
42	The Loss of a Teardrop Diamond
Teddy Bears	Win Win
Alpha Dog	Planet Terror
Confessions of an Action Star	The Expendables
Music and Lyrics	The Proposal
Bad Words	Rocker
Mini's First Time	My Best Friend's Girl
Everybody's Fine	Shark Tale
Bunraku	The Hunger Games
Pennhurst	Scott's Dead
Machete Kills	The Mist
Batman Begins	Paranoia
Definitely, Maybe	The Extra Man
Hell Baby	Semi-Pro
Cloudy With A Chance of Meatballs	Santa's Slay
Canvas	Someday This Pain Will Be Useful to You
Blast	In the Hive
I'll Sleep When I'm Dead	L.A., I Hate You
Gambit	Mrs. Harris
Lakeview Terrace	The Phantom of the Opera
Prop 8: The Musical	Step Brothers
Richard III	Sushi Girl
Don't Pass Me By	Refuge from the Storm
The Absence of Light	Tournament of Dreams
Lower Learning	The Ten
In the Hive	Street Fighter: The Legend of Chun-Li
The Last Ride	Win a Date with Tad Hamilton!
Carpool	The Three Stooges
Bernard and Doris	Harry Potter and the Deathly Hallows - Part I
Despicable Me	Monsters University
Around the World in 80 Days	Christmas Is Here Again
Hip Hop Immortals: We Got Your Kids	The Big Bang
Crash and Burn	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
The Bucket List	Through the Valley
Happy Birthday Oscar Wilde	The Special Relationship
House of D	The Big White
Dirty Deeds	The Uninvited
Pastor Jones: The Complete First Season	Queen City
The Honeymooners	The Lincoln Lawyer
Step Brothers	The Spiderwick Chronicles
All About Steve	Gamer
Buttermilk Sky	House
Missing Pieces	The Donner Party
The Fighter	This is a Story About Ted and Alice
It Ain't Easy	Street Kings
Freelancers	Machete
The Contract	The Raven
Better Living Through Chemistry	Winter Solstice
Behind Enemy Lines: Colombia	Shadows in Paradise
1408	The Raven
The Last Godfather	The Newest Pledge
A Plumm Summer	Hatchet
An American Crime	Spider-Man 3
Kill the Irishman	Lurid
Breaking Upwards	United 93
Big Mommas: Like Father, Like Son	The Kims of Comedy
Hellboy	The Scorpion King 3: Battle for Redemption
The Pink Panther 2	Yes, Virginia
Devil's Knot	Val Lewton: The Man in the Shadows
Cheap Thrills	Wedding Day
Confessions of an Action Star	Losing Control
Cat Tale	Magic Trip
Ask the Dust	Epic
Raising Genius	Strange Wilderness
Fantastic Four	The Ten
A Girl and a Gun	Domino
Inappropriate Comedy	Just My Luck
Anchorman: The Legend of Ron Burgundy	Fight for Your Right Revisited
Canvas	In from the Night
Answers to Nothing	Open House
Edgar Allan Poe's Ligeia	The Dark Knight
Channel Chasers	Hick
The Eagle	White House Down
Eye of the Hurricane	Up in the Air
Crazy on the Outside	The Details
The Fountain	The Prestige
Lego: The Adventures of Clutch Powers	Tom &amp; Jerry and the Fast and the Furry
Bad Ass	Dead Man's Burden
What's Wrong With Virginia	Your Highness
Muhammad Ali's Greatest Fight	The Cookout
Noel	Push
21 and a Wake-Up	Red
Big Miracle	The Darwin Awards
Living 'til the End	Wild Hogs
Invictus	Youth Without Youth
Meet Monica Velour	The Last Sentinel
Beautiful Loser	Superhero Movie
How to Train Your Dragon	The Sitter
Here Comes Peter Cottontail: The Movie	The Haunted World of El Superbeasto
Kick-Ass 2	Mixtape
BloodRayne	The Dictator
All's Faire in Love	Madagascar 3: Europe's Most Wanted
Derailed	Friends with Money
Oh, What a Lovely Tea Party	The Pleasure Drivers
Arena	Snakes on a Plane
Copying Beethoven	What's Wrong With Virginia
April Showers	The Year of Getting to Know Us
Little Fish, Strange Pond	The L.A. Riot Spectacular
Innocent	Orchids
Dirty	I Tried
Sex and Lies in Sin City	Someday This Pain Will Be Useful to You
Conan the Barbarian	Hellboy
Freaky Deaky	The Ten Commandments
All About Steve	Lottery Ticket
Hoodwinked Too! Hood vs. Evil	You Are Here
Be My Baby	Hello Sister, Goodbye Life
BloodRayne	You Kill Me
Meek's Cutoff	The Extra Man
Pulse	Sinner
Ghost Rider	Grindhouse
Camp Lazlo: Where's Lazlo?	The Haunted World of El Superbeasto
Chasing Ghosts	Jumper
In the Name of the King: A Dungeon Siege Tale	The River Murders
Shoot 'Em Up	Who Is Clark Rockefeller?
In the Blink of an Eye	Shannon's Rainbow
Catch .44	Unknown Soldier
Wedding Day	Zolar: The Extreme Sports Movie
The Help	The Sisterhood of the Traveling Pants
Some Boys Don't Leave	The Village
50/50	The Twilight Saga: Breaking Dawn - Part 1
Back for the Future	Forgetting Sarah Marshall
Dean Teaster's Ghost Town	Shadowheart
Dead Lenny	Kings of South Beach
A Little Game	Try to Remember: The Fantasticks
Collateral	Jamie Foxx Presents: America's Funniest Comics: Vol. 1
Dan in Real Life	Looper
The Black Belle	The Pacific and Eddy
El Superstar: The Unlikely Rise of Juan Frances	Justin Time
Machete Kills	Shoot the Hero
Lottery Ticket	Resident Evil: Extinction
All In	Crash and Burn
Live Free or Die Hard	The Cold Light of Day
Mission: Impossible III	The Longest Week
Evilution	Kush
Brick	Still Green
True Grit	W.
Tenure	The Dukes of Hazzard
Madagascar 3: Europe's Most Wanted	The Watch
The Art of War II: Betrayal	The Benchwarmers
Reign Storm	Zodiac
Friends with Kids	When the Nines Roll Over
Garbage	Last I Heard
Arthur Newman	Dan in Real Life
25 Years of Improv Comedy	You Are Here
The Lucky Ones	Under the City
End Game	The Big Wedding
Night at the Museum: Battle of the Smithsonian	Trouble with the Curve
Mysterious Skin	The Temerity of Zim
Sunshine	What's Your Number?
Post Grad	The Three Stooges
Family Guy Presents: Stewie Griffin: The Untold Story	Space Chimps 2: Zartog Strikes Back
Breast Picture	Starsky &amp; Hutch
Hoot	The Big White
Bad Words	Win a Date with Tad Hamilton!
Handsome Harry	Shadow of Fear
Shadows in Paradise	Six Days in Paradise
Eulogy	Shadowheart
The Company You Keep	The Conspirator
Mission: Impossible III	Surrogates
Cinderella III: A Twist in Time	Tom and Jerry Blast Off to Mars
Francine	The Space Between
7-10 Split	If I Had Known I Was a Genius
Caught on Tape	Larry Crowne
Broken Flowers	Shopgirl
Morgan and Destiny's Eleventeenth Date: The Zeppelin Zoo	The Dark Knight Rises
As I Lay Dying	Kenny Powers - The K-Swiss MFCEO
Snakes on a Plane	Still Waiting...
Deadly Shift	Little Miss Sunshine
Empire Falls	Shadows and Lies
Ratatouille	The Great New Wonderful
Christmas in Compton	Samuel Bleak
Agent Crush	The Ring 3D
Before I Sleep	The Nickel Children
Sunshine Cleaning	Trouble with the Curve
A Teacher's Crime	Any Day Now
Fred: The Movie	Scooby-Doo! Abracadabra-Doo
Reach for Me	What If God Were the Sun?
Assassination of a High School President	Setup
Fast Food Nation	What Just Happened
No Rest for the Wicked: A Basil &amp; Moebius Adventure	Silent Hill: Revelation 3D
An Evening with Kevin Smith 2: Evening Harder	National Lampoon's TV: The Movie
Dragon Fire	The Harimaya Bridge
Creepshow Raw: Insomnia	Not Another Not Another Movie
American Violet	Saint John of Las Vegas
Mockingbird Lane	No Country for Old Men
Delirious	Don't Look Up
Cop Out	The Whole Ten Yards
Australia	The Invasion
House of Fallen	The Far Side of Jericho
Kung Fu Panda Holiday	Meet the Fockers
Sexual Life	The Next Three Days
Fantastic Four	The Killer Inside Me
The Contract	Thick as Thieves
Marie Antoinette	Wedding Weekend
The Debt	Trailer for a Remake of Gore Vidal's Caligula
Big Breaks	Ella Enchanted
Monsters vs Aliens: Mutant Pumpkins from Outer Space	Wristcutters: A Love Story
Don McKay	Superhero Movie
New Moon	Syrup
Good Night, and Good Luck	Matters of Life and Death
Easy A	Griffin and Phoenix
Palo Alto	The Skeptic
Bad Lieutenant: Port of Call New Orleans	Catch .44
Group Sex	Restitution
7-10 Split	The Crow: Wicked Prayer
The Chaos Experiment	The Devil's Dozen
Christmas in Compton	If I Had Known I Was a Genius
Alfie	For Love of Liberty: The Story of America's Black Patriots
Dog Eat Dog	The Matador
Defiance	Fading Gigolo
Born to Ball: On the Hardwood	Righteous Kill
Friendly Fire	Labor Pains
Good Night, and Good Luck	One Missed Call
Made of Honor	Mr. &amp; Mrs. Smith
Ripple Effect	The Air I Breathe
Fantastic Four	Puncture
Get Smart	Horton Hears a Who!
Hell &amp; Back	Larry the Cable Guy: Health Inspector
Sleepwalking	The Big White
Two Jacks	You Don't Know Jack
Felony	The Green Hornet
Arena	Love, Wedding, Marriage
Alex's Halloween	Alvin and the Chipmunks
Lost Revolution	Stephanie's Image
Alice in Wonderland	Public Enemies
Conversations with Other Women	The Boondoggle
Greener Mountains	Legion
She's Out Of My League	The Help
My Baby's Daddy	The Beautiful Country
Strip Search	The Ten
Richard Pryor: Omit the Logic	The Big White
Deadfall	In Time
Setup	The Astronaut Farmer
Bottoms Up	Noah's Ark: The New Beginning
Still Waiting...	The Artist
North Country	Semi-Pro
Beautiful Loser	Unforgivable Blackness
Fun with Dick and Jane	The Last Shot
Freelancers	Gun
Repo Men	Street Kings
Herbert White	Marvelous
Jack's Not Sick Anymore	The 12 Dogs of Christmas
Guns, Girls and Gambling	Planet 51
R&amp;B Chick	Vicious Circle
Mythic Journeys	The Chosen One
As You Like It	Undertaking Betty
Oh, What a Lovely Tea Party	The Adjustment Bureau
Red	Splinter
Blue Jasmine	Fast Food Nation
Gravity	Leatherheads
Hell Ride	Powers
Home of the Brave	Total Recall
Gods Behaving Badly	The Proposal
The Lucky Ones	Would You Rather
Scooby-Doo! Curse of the Lake Monster	The Outback
Behind Enemy Lines II: Axis of Evil	Humble Pie
Camp Lazlo: Where's Lazlo?	Combustion
Animal 2	Idlewild
The Lion of Judah	The Witching Hour
Break	The Lion of Judah
Bug	Herbert White
Madagascar 3: Europe's Most Wanted	Scooby-Doo and the Goblin King
Raising Genius	Senior Skip Day
Mr. &amp; Mrs. Smith	The Last Fall
Apart	Outlaw Trail: The Treasure of Butch Cassidy
Are We There Yet	Rio
As Cool As I Am	The Alibi
Bed &amp; Breakfast	Before I Sleep
Comedians of Comedy: Live at the Troubadour	Dirty Old Town
A Late Quartet	Click
Shoot First and Pray You Live	Yellow Rock
Sparkle	The Hangover
High Road	Night at the Museum: Battle of the Smithsonian
Freezing People Is Easy	Unaccompanied Minors
Mad Cowgirl	The Obsession
Alvin and the Chipmunks: Chipwrecked	Alvin and the Chipmunks: The Squeakquel
Men in Black 3	Three Days to Vegas
Step Brothers	The Terrys
Delgo	In the Hive
L.A. D.J.	Shark Bait
Step Brothers	The Dead Girl
Fifty Pills	Love Shack
Becoming Enchanted: A New Classic Comes True	Charlie Wilson's War
Blast	Tooth and Nail
Being Flynn	Nobody Walks
Cowboys &amp; Aliens	The Adventures of Tintin: The Secret of the Unicorn
Knights of the South Bronx	Ray
Four Brothers	The Company You Keep
Big Ass Spider	Small Town Saturday Night
Chlorine	Quad
Chloe	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Jumping the Broom	Mike Epps Presents: Live from Club Nokia
Daltry Calhoun	Small Apartments
Joe Louis: America's Hero Betrayed	Reverse of the Curse of the Bambino
I Melt with You	The Unborn
Hardwired	Riddle
Something New	The Grand
American Reunion	ExTerminators
Elf Bowling: The Movie	Meet the Robinsons
The Odd Life of Timothy Green	Year One
Lovely, Still	Role Models
Along Came Polly	Horrible Bosses
Before I Sleep	The Whole Truth
Hemlock Drive	Middle of Nowhere
Serpent Girl	Watchmen
At Any Price	Horsemen
Gamer	Samuel Bleak
Emanuel and the Truth about Fishes	Heavenly Sword
One Night	Stephanie Daley
Father of Lies	Unstable Fables: Tortoise vs. Hare
Lovely, Still	Meet Bill
Blast	Fire with Fire
Final Move	Permanent Vacation
A Good Old Fashioned Orgy	Take Me Home
Afro Samurai: Resurrection	Meeting Evil
Watchmen	Women in Trouble
Horns	The Hangover
Paranoia 1.0	Prairie Fever
The F Word	The Winning Season
Austenland	Living Proof
Take Me Home	Who's Your Daddy?
All In	Born of Earth
Buried	Smokin' Aces
Rebel	Shadows and Lies
Conan the Barbarian	Hellboy: Blood and Iron
Iron Man 2	The Winning Season
Movie 43	Not Forgotten
Hollywood Dreams	Sea of Dreams
Fierce People	The Loss of a Teardrop Diamond
Argo	The Santa Clause 3: The Escape Clause
Crashing	Kung Fu Panda Holiday
Pray for Morning	The Twilight Saga: Breaking Dawn - Part 2
An Education	The Lodger
An American Crime	Good Time Max
Classical Baby: I'm Grown Up Now: The Poetry Show	Mr. Woodcock
Balls of Fury	The Power of Few
Being Flynn	Godsend
Cloud Atlas	The Da Vinci Code
10 Years	He's Just Not That Into You
Blackwater Valley Exorcism	Charlie Valentine
Certifiably Jonathan	Night at the Museum: Battle of the Smithsonian
Joshua Tree	Shannon's Rainbow
Anchorman: The Legend of Ron Burgundy	Harold
The Tenants	The Wendell Baker Story
Child of God	Lincoln
Curse of Chucky	Halloween II
The Road	We Own the Night
Bridge of Names	Zoom
Mac &amp; Devin Go to High School	Scary Movie 5
American Gangster	Inside Man
The Wackness	Thunderbirds
Georgia Rule	Stoker
Ocean's Twelve	Up in the Air
Drive Angry	Ghost Rider: Spirit of Vengeance
Raggedy Anne	Urban Justice
Hollywood Dreams	Kingshighway
Red Eye	Unforgivable Blackness
Easy Rider: The Ride Back	Max Rose
Cirque du Freak: The Vampire's Assistant	Prop 8: The Musical
Slipstream	Street Fighter: The Legend of Chun-Li
Iron Jawed Angels	Runner, Runner
Greenberg	Ira and Abby
Kings of the Evening	Obsessed
I-See-You.Com	The Good German
A Killer Within	Restitution
Running with Scissors	Unforgivable Blackness
Evan Almighty	Little Miss Sunshine
Orchids	The Da Vinci Code
Little Big Top	Mysterious Skin
Safe House	The Great Debaters
Confessions of an Action Star	Madagascar: Escape 2 Africa
Hall Pass	Liberal Arts
Astro Boy	Big Miracle
Eclipse	Hide and Seek
First Sunday	R&amp;B Chick
Sam Steele and the Crystal Chalice	The Boarder
Afghan Knights	Edgar Allan Poe's Ligeia
Knucklehead	Straight A's
Fight for Your Right Revisited	Operation: Endgame
2 Dudes and a Dream	Amelia's 25th
Bury My Heart at Wounded Knee	Spider-Man 3
Held Hostage	Kings of the Evening
Before I Self Destruct	Morning Glory
Date Night	Hustle &amp; Flow
The Guilt Trip	You, Me and Dupree
Behind the Candelabra	The Streets of the Invisibles
The Foot Fist Way	Tropic Thunder
Lady in the Water	Syriana
Kisses Over Babylon	Twisted
30 Days Until I'm Famous	KAW
10 Items or Less	Fast Food Nation
Excision	The Rain Makers
10.5: Apocalypse	I-See-You.Com
Definitely, Maybe	Lovely, Still
Night of the Living Dead: Origins 3D	Splinter
Larry Crowne	Red Tails
Peacock	Shall We Dance?
A Lot like Love	How Do You Know
Murder101	The Nickel Children
McCanick	Supercross
Cake	Horns
Year One	You, Me and Dupree
Going to Pieces: The Rise and Fall of the Slasher Film	Saving Angelo
Kung Fu Panda Holiday	Monsters vs Aliens: Mutant Pumpkins from Outer Space
Step Up	Stop-Loss
Fuego	Hair High
Argo	Little Miss Sunshine
Borderland	Elvis Has Left the Building
American Hustle	Rescue Dawn
Supercross	The Deaths of Ian Stone
Shannon's Rainbow	Taco Shop
Bad News Bears	In from the Night
BearCity 2: The Proposal	Hindsight
Dante's Inferno Documented	The Devil's Dozen
23rd Psalm: Redemption	Just Another Day
Insidious	Losing Control
Red Eye	The Home
Labor Day	Women in Trouble
Changing Hands	Shredderman Rules
First Sunday	The Sensei
Fairy Idol	The Kumquat Kwadruplets
Pineapple Express	The Mother of Invention
The Lorax	Walk Hard: The Dewey Cox Story
RocknRolla	The Last Kiss
Against the Dark	Hopelessly in June
The Beach Party at the Threshold of Hell	Unaccompanied Minors
Bratz Genie Magic	Mean Girls
Dirty Girl	The Three Musketeers
The Go-Getter	Wig
Nature Calls	The Hangover
Middle Men	The Hunt for the BTK Killer
Good Behavior	Scooby-Doo! Abracadabra-Doo
Deadgirl	Looper
Hostage	The Cold Light of Day
Killer Elite	Last Vegas
Wonder Woman	You Are Here
Adventures in the Sin Bin	Warm Springs
Eragon	The Hitchhiker's Guide to the Galaxy
My Own Love Song	The Fourth Kind
Growth	The Lost
Cinderella III: A Twist in Time	Scooby-Doo! Pirates Ahoy!
Against the Dark	The Year of Getting to Know Us
The Oh in Ohio	The Perks of Being a Wallflower
Jewtopia	The Hottie and the Nottie
Phantom	Supernova
Fighting	The Vow
Four Christmases	We Own the Night
Light and the Sufferer	Little Miss Sunshine
Abraham Lincoln: Vampire Hunter	American Violet
Good Night, and Good Luck	Steel Toes
Lullaby	Miss Pettigrew Lives for a Day
Drive	Uncross the Stars
Hell &amp; Back	Your Highness
Not Another Not Another Movie	The Trail to Hope Rose
Mr. Sophistication	The Perfect Game
Extract	Post Grad
Looper	Universal Soldier: Day of Reckoning
Kronk's New Groove	Red State
Finding Bliss	The Black Hole
A Holiday Heist	Ride or Die
