F. Murray Abraham	Language of the Enemy
Liev Schreiber	Lackawanna Blues
Terrence Howard	Lackawanna Blues
James Duval	The Art of Travel
Johnny Depp	Pirates of the Caribbean: On Stranger Tides
Geoffrey Rush	Pirates of the Caribbean: On Stranger Tides
Rosario Dawson	Unstoppable
Denzel Washington	Unstoppable
Kevin Corrigan	Unstoppable
Stephen Dorff	The Passage
John Cusack	The Passage
Jennifer Aniston	Wanderlust
Paul Rudd	Wanderlust
Malin ?kerman	Wanderlust
Ray Liotta	Wanderlust
Lauren Ambrose	Wanderlust
Kathryn Hahn	Wanderlust
Brad Dourif	The Hazing
Joel Michaely	Wild Roomies
Danny Trejo	Ranchero
Brett Rice	Prime of Your Life
Owen Wilson	Drillbit Taylor
Matt Walsh	Drillbit Taylor
David Koechner	Drillbit Taylor
Danny McBride	Drillbit Taylor
Stephen Root	Drillbit Taylor
Rance Howard	Drillbit Taylor
Matt Damon	Youth Without Youth
Ben Stiller	Elmo's Christmas Countdown
Jane Lynch	How to Be a Hollywood Player in Less Than Ten Minutes
Richard Riehle	Bait Shop
Rus Blackwell	Bait Shop
Jeff Chase	Bait Shop
Lucy Punch	The Procession
Arielle Kebbel	Supporting Characters
Kevin Corrigan	Supporting Characters
Kristen Wiig	Revenge for Jolly!
Kevin Corrigan	Revenge for Jolly!
Christopher Walken	Gods Behaving Badly
Oliver Platt	Gods Behaving Badly
Aasif Mandvi	Gods Behaving Badly
Stanley Tucci	Idea in America
Heather Graham	Son of Morning
Danny Glover	Son of Morning
Stephen Root	Son of Morning
Edward Herrmann	Son of Morning
Marc Macaulay	Son of Morning
Beth Grant	The House of Usher
Eric Roberts	Edgar Allan Poe's Ligeia
Michael Madsen	Edgar Allan Poe's Ligeia
Patrick Wilson	The Phantom of the Opera
Ciar?n Hinds	The Phantom of the Opera
Jeffrey Dean Morgan	The Losers
Idris Elba	The Losers
Chris Evans	The Losers
Matt Damon	True Grit
Jeff Bridges	True Grit
Josh Brolin	True Grit
J.K. Simmons	True Grit
Robin Wright	Sorry, Haters
Aasif Mandvi	Sorry, Haters
Aidan Quinn	Miracle Run
Beau Bridges	Americanizing Shelley
Melissa Leo	One Night
Beth Grant	Life of Lemon
Denzel Washington	Flight
Melissa Leo	Flight
John Goodman	Flight
Don Cheadle	Flight
Rhoda Griffis	Flight
Sean Astin	Sea Lions: A California Adventure
John C. Reilly	We Need to Talk about Kevin
Eric Roberts	Lip Service
Bonnie Johnson	10 Rules for Sleeping Around
Colin Farrell	Seven Psychopaths
Christopher Walken	Seven Psychopaths
Woody Harrelson	Seven Psychopaths
Sam Rockwell	Seven Psychopaths
Kevin Corrigan	Seven Psychopaths
Malin ?kerman	Inferno: A Linda Lovelace Story
Cloris Leachman	Timberwolf
James Russo	Timberwolf
Rance Howard	Timberwolf
David Jensen	Escapee
Michael Madsen	Art's Demise
Anthony Mackie	Half Nelson
Denis O'Hare	Half Nelson
Paul Rudd	I Could Never Be Your Woman
Fred Willard	I Could Never Be Your Woman
Wallace Shawn	I Could Never Be Your Woman
Brett Rice	The Ultimate Gift
Mircea Monroe	The Ultimate Gift
Christa Campbell	End Game
Philip Baker Hall	The Matador
Adam Scott	The Matador
Cam Gigandet	Priest
Christopher Plummer	Priest
Brad Dourif	Priest
Ben Kingsley	Hugo
Chlo? Moretz	Hugo
Danny Trejo	Violet &amp; Daisy
Christopher Walken	A Girl and a Gun
Chlo? Moretz	Family Plan
Danny McBride	The Foot Fist Way
Ron Perlman	Two Soldiers
Tony Todd	Tournament of Dreams
Christopher Walken	The Maiden Heist
William H. Macy	The Maiden Heist
Morgan Freeman	The Maiden Heist
Marcia Gay Harden	The Maiden Heist
Mircea Monroe	Tekken
Kristen Bell	When in Rome
Will Arnett	When in Rome
Patricia Clarkson	Whatever Works
Bill Murray	The Limits of Control
Zach Galifianakis	The Hangover
Bradley Cooper	The Hangover
Heather Graham	The Hangover
Jeffrey Tambor	The Hangover
Ed Helms	The Hangover
Matt Walsh	The Hangover
Ken Jeong	The Hangover
Mike Epps	The Hangover
Rob Riggle	The Hangover
Tom Kenny	Meet the Robinsons
Robert Downey Jr.	Charlie Bartlett
Michael Shannon	Before the Devil Knows You're Dead
Philip Seymour Hoffman	Before the Devil Knows You're Dead
Bradley Cooper	Yes Man
Jim Carrey	Yes Man
Ben Stiller	The Marc Pease Experience
Anna Kendrick	The Marc Pease Experience
Frances Conroy	Waking Madison
Sean Astin	Cat Tale
Chazz Palminteri	Cat Tale
David Cross	Cat Tale
Rip Torn	Cat Tale
Stanley Tucci	Cat Tale
Fred Willard	Cat Tale
Tony Hale	Happythankyoumoreplease
Malin ?kerman	Happythankyoumoreplease
Richard Jenkins	Happythankyoumoreplease
Tim Blake Nelson	Fido
Joseph Gordon-Levitt	50/50
Seth Rogen	50/50
Anna Kendrick	50/50
Philip Baker Hall	50/50
Dennis Quaid	In Good Company
Scarlett Johansson	In Good Company
Patrick Wilson	Little Children
George Clooney	Ocean's Twelve
Brad Pitt	Ocean's Twelve
Matt Damon	Ocean's Twelve
Owen Wilson	The Big Bounce
Vinnie Jones	The Big Bounce
Leonardo DiCaprio	The Departed
Matt Damon	The Departed
Jack Nicholson	The Departed
Alec Baldwin	The Departed
Martin Sheen	The Departed
Vera Farmiga	The Departed
Kevin Corrigan	The Departed
Tom Cruise	War of the Worlds
Dakota Fanning	War of the Worlds
Tim Robbins	War of the Worlds
Alfred Molina	The Hoax
Marcia Gay Harden	The Hoax
Stanley Tucci	The Hoax
Will Ferrell	Blades of Glory
Will Arnett	Blades of Glory
Amy Poehler	Blades of Glory
Jenna Fischer	Blades of Glory
Rob Corddry	Blades of Glory
Luke Wilson	Blades of Glory
Tony Todd	Dark Assassin
Daniel Roebuck	Woke Up Dead
Jason Mewes	Cousin Sarah
Tom Sizemore	Cousin Sarah
Tom Arnold	The Year of Getting to Know Us
Tony Hale	The Year of Getting to Know Us
Jeff Chase	The Year of Getting to Know Us
John Savage	Shut Up and Shoot
Tom Sizemore	Shut Up and Shoot
James Russo	Shut Up and Shoot
Louis Mandylor	Wrong Turn at Tahoe
Noel Gugliemi	Wrong Turn at Tahoe
Cloris Leachman	Love Takes Wing
Ian McKellen	The Hobart Shakespeareans
Stanley Tucci	Burlesque
Cam Gigandet	Burlesque
Kristen Bell	Burlesque
Richard Riehle	Growth
Mircea Monroe	Growth
James Franco	127 Hours
Will Ferrell	Everything Must Go
Stephen Root	Everything Must Go
C. Thomas Howell	Ordinary Miracles
Denis O'Hare	Trainwreck: My Life as an Idiot
William Sadler	Last Day of Summer
Tom Arnold	Moonlight and Mistletoe
Tom Arnold	Moonlight and Mistletoe
Clint Howard	London Betty
Tara Reid	Land of Canaan
Lin Shaye	Chronic Town
Michael Rooker	Repo! The Genetic Opera
James Russo	Dark Woods
Edrick Browne	North Starr
Tom Hanks	Hawaiian Vacation
Wallace Shawn	Hawaiian Vacation
Frank Welker	Hawaiian Vacation
Bruce Davison	The Persecuted
James Remar	The Persecuted
Chris Parnell	Sunny and Share Love You
Joel Michaely	Sunny and Share Love You
Dean Cain	Kill Katie Malone
Parker Posey	Inside Out
J.D. Evermore	Inside Out
Parker Posey	Sunny Side Up
Parker Posey	Price Check
Ben Foster	Jackpot
Richard Riehle	Extracted
Clint Howard	Senior Skip Day
Tara Reid	Senior Skip Day
Jackson Rathbone	Senior Skip Day
Michael Ironside	The Alphabet Killer
Bill Moseley	The Alphabet Killer
Melissa Leo	The Alphabet Killer
Val Kilmer	Stateside
John Goodman	Speed Racer
Susan Sarandon	Speed Racer
Ryan Reynolds	The Nines
Ryan Reynolds	The Nines
Ryan Reynolds	The Nines
Allison Janney	Winter Solstice
Michelle Monaghan	Winter Solstice
Nicole Kidman	The Invasion
Daniel Craig	The Invasion
Jeffrey Wright	The Invasion
Malin ?kerman	The Invasion
Adam LeFevre	The Invasion
William Sadler	Unspoken
Michael Rooker	Bolden!
Omari Hardwick	Bolden!
Anthony Mackie	Bolden!
Jesse Eisenberg	Some Boys Don't Leave
Omari Hardwick	I Will Follow
James Caan	For the Love of Money
Jeffrey Tambor	For the Love of Money
Noel Gugliemi	For the Love of Money
Steven Bauer	For the Love of Money
Jesse Eisenberg	To Rome with Love
Alec Baldwin	To Rome with Love
Patricia Clarkson	Five
Rosario Dawson	Five
Jeffrey Tambor	Five
Jesse Eisenberg	Free Samples
Matt Walsh	Free Samples
James Duval	Free Samples
Kellan Lutz	Bumped
Philip Baker Hall	Dog Eat Dog
Seymour Cassel	Booster
Jeff Bridges	The Achievers: The Story of the Lebowski Fans
Channing Tatum	Side Effects
Susan Sarandon	Bernard and Doris
Ralph Fiennes	Bernard and Doris
Ron Jeremy	Tales from the Crapper
Olivia Wilde	Fix
Aidan Quinn	Shadow of Fear
Lacey Chabert	Shadow of Fear
Michael Madsen	Not Another Not Another Movie
Vinnie Jones	Not Another Not Another Movie
Richard Tyson	Not Another Not Another Movie
James Duval	Not Another Not Another Movie
Louis Mandylor	Not Another Not Another Movie
Christian Slater	Lies &amp; Illusions
Christa Campbell	Lies &amp; Illusions
Lochlyn Munro	Lies &amp; Illusions
Fred Willard	Scout's Honor: Badge to the Bone
Robert Downey Jr.	Sherlock Holmes: A Game of Shadows
Rachel McAdams	Sherlock Holmes: A Game of Shadows
Ving Rhames	Seven Below
Val Kilmer	Seven Below
Tony Curran	The Last Best Place
David Cross	The Toe Tactic
Kevin Corrigan	The Toe Tactic
Jane Lynch	The Toe Tactic
Beau Bridges	Debating Robert Lee
Stephen Tobolowsky	Debating Robert Lee
Dean Cain	The Perfect Husband: The Laci Peterson Story
Lance Henriksen	Starkweather
Tara Reid	Knots
Michael Shannon	Mud
Matthew McConaughey	Mud
Michael Ironside	Beneath the Blue
Michael Madsen	Infected
Wallace Shawn	Vamps
Sigourney Weaver	Vamps
Malcolm McDowell	Vamps
Michael Caine	Journey 2: The Mysterious Island
Dwayne Johnson	Journey 2: The Mysterious Island
Jeremy Sisto	Into Temptation
Chlo? Moretz	Tigger &amp; Pooh and a Musical Too
Liev Schreiber	The Reluctant Fundamentalist
Patrick Warburton	A Uniform Used to Mean Something...
Jeffrey Wright	Cadillac Records
Cedric the Entertainer	Cadillac Records
Beau Bridges	Max Payne
Jim Carrey	I Love You Phillip Morris
Danny Trejo	La Linea
Ray Liotta	La Linea
Bruce Davison	La Linea
Christopher Walken	Scam
John Cusack	2012
Danny Glover	2012
Oliver Platt	2012
Woody Harrelson	2012
Stephen McHattie	2012
Steve Buscemi	Youth in Revolt
Ray Liotta	Youth in Revolt
Justin Long	Youth in Revolt
Fred Willard	Youth in Revolt
Zach Galifianakis	Youth in Revolt
John Leguizamo	Waco
Christian Bale	The Last Photograph
John Savage	Open Road
Sean Astin	WWII in HD: The Air War
Don Cheadle	Reign Over Me
Jeff Bennett	Mickey, Donald, Goofy: The Three Musketeers
Jeff Bennett	Mickey, Donald, Goofy: The Three Musketeers
Frank Welker	Mickey, Donald, Goofy: The Three Musketeers
Carlos Alazraqui	I Downloaded a Ghost
Lance Henriksen	Prairie Fever
Jeffrey Dean Morgan	Peace, Love &amp; Misunderstanding
Joseph Gordon-Levitt	Big Breaks
Elizabeth Banks	Big Breaks
Lucy Punch	Big Breaks
Jane Lynch	Big Breaks
Martin Starr	Big Breaks
Taraji P. Henson	Forehead Tittaes
Bruce Willis	Fire with Fire
Rosario Dawson	Fire with Fire
50 Cent	Fire with Fire
Vinnie Jones	Fire with Fire
Willem Dafoe	The Jesuit
Sean Penn	Deflating the Elephant
Michael Rooker	Matadors
David Strathairn	Matadors
Bruce Davison	3 Holiday Tails
Ritchie Montgomery	Shadow People
Marcia Gay Harden	Smothered
James Cromwell	Wal-Mart: The High Cost of Low Price
Danny Trejo	Shadows in Paradise
Tom Sizemore	Shadows in Paradise
Steven Bauer	Shadows in Paradise
Diora Baird	Stan Helsing
Val Kilmer	5 Days of War
Dean Cain	5 Days of War
Heather Graham	5 Days of War
Nicolas Cage	Joe
Bonnie Johnson	Killing Kennedy
Clint Howard	How to Eat Fried Worms
Emma Thompson	Nanny McPhee
Colin Firth	Nanny McPhee
Missi Pyle	Barry Munday
Judy Greer	Barry Munday
Malcolm McDowell	Barry Munday
Patrick Wilson	Barry Munday
Christopher McDonald	Barry Munday
Carmen Electra	Barry Munday
John Carroll Lynch	The Pretty One
Melissa Leo	Bottled Up
Rosario Dawson	Raze
Chlo? Moretz	Carrie
Julianne Moore	Carrie
Judy Greer	Carrie
James Franco	As I Lay Dying
Beth Grant	As I Lay Dying
Danny McBride	As I Lay Dying
Tim Blake Nelson	As I Lay Dying
Joaquin Phoenix	The Immigrant
Chris Evans	Snow Piercer
Ed Harris	Snow Piercer
Danny Trejo	Ticket to Vegas
Heather Graham	The Hangover Part III
Bradley Cooper	The Hangover Part III
Ed Helms	The Hangover Part III
Zach Galifianakis	The Hangover Part III
Ken Jeong	The Hangover Part III
Dean Cain	Subject: I Love You
James Cromwell	Memorial Day
Eric Roberts	The Devil's Dozen
C. Thomas Howell	The Devil's Dozen
Tom Sizemore	Murder101
Christa Campbell	Blood: A Butcher's Tale
Luke Wilson	The Wendell Baker Story
Owen Wilson	The Wendell Baker Story
Seymour Cassel	The Wendell Baker Story
Kris Kristofferson	The Wendell Baker Story
Will Ferrell	The Wendell Baker Story
Bruce Willis	The Whole Ten Yards
Terrence Howard	Their Eyes Were Watching God
James Duval	Toxic
Bai Ling	Toxic
Tom Sizemore	Toxic
Danny Trejo	Toxic
Samuel L. Jackson	Lakeview Terrace
Patrick Wilson	Lakeview Terrace
Carmen Electra	Lil' Pimp
Tom Kenny	Lil' Pimp
Leonardo DiCaprio	Revolutionary Road
Robert De Niro	Machete
Jessica Alba	Machete
Lindsay Lohan	Machete
Danny Trejo	Machete
Brad Dourif	Turbulent Skies
Jon Voight	The Karate Dog
Christopher McDonald	Lemonade Mouth
Rip Torn	Bridge of Names
Brett Rice	Red Dirt Rising
Michael Biehn	Treachery
Christa Campbell	Unraveled
Christa Campbell	Straight A's
Luke Wilson	Straight A's
Lance E. Nichols	Straight A's
Martin Starr	Bestie's Night
Martin Starr	Church &amp; State
Javier Bardem	Silence
Daniel Day-Lewis	Silence
Steve Coogan	Ruby Sparks
Paul Dano	Ruby Sparks
Aasif Mandvi	Ruby Sparks
Chris Messina	Ruby Sparks
Vera Farmiga	A View from the Bridge
William Sadler	Open Gate
William Sadler	Melvin Smarty
Tony Hale	Because I Said So
Bill Moseley	House
Michael Madsen	House
Lance Henriksen	House
Bill Moseley	Evil Bong
Lacey Chabert	Slightly Single in L.A.
Mircea Monroe	Slightly Single in L.A.
Robert Patrick	Alien Trespass
50 Cent	Kill the Record Labels
John Cusack	The Butler
Terrence Howard	The Butler
James Marsden	The Butler
Liev Schreiber	The Butler
Forest Whitaker	The Butler
Robin Williams	The Butler
Jeremy Irons	Beautiful Creatures
Emma Thompson	Beautiful Creatures
J.D. Evermore	Beautiful Creatures
Emma Thompson	Beautiful Creatures
Beau Bridges	Spinning into Butter
Chlo? Moretz	Not Forgotten
Helen Mirren	Trailer for a Remake of Gore Vidal's Caligula
Val Kilmer	Silver Cord
Ving Rhames	Silver Cord
Val Kilmer	Wyatt Earp's Revenge
Val Kilmer	Deep in the Heart
Elaine Hendrix	Deep in the Heart
Val Kilmer	Riddle
Diora Baird	Riddle
William Sadler	Riddle
Chazz Palminteri	Henry and Me
Martin Sheen	The Double
Bradley Cooper	My Little Eye
Anthony Hopkins	Proof
James Franco	The Great Raid
Liev Schreiber	The Omen
Bruce Willis	Fast Food Nation
Paul Dano	Fast Food Nation
Kris Kristofferson	Fast Food Nation
Bobby Cannavale	Fast Food Nation
Stephen Root	The Path to 9/11
Chazz Palminteri	Last I Heard
Steven Bauer	Last I Heard
Vera Farmiga	At Middleton
Giancarlo Esposito	Doing Hard Time
Steven Bauer	Doing Hard Time
Tom Arnold	Kill Speed
Ken Jeong	How to Make Love to a Woman
C. Thomas Howell	The Grind
Danny Trejo	The Grind
Tom Sizemore	The Grind
Rhoda Griffis	Girl, Positive
Lacey Chabert	High Hopes
Jason Mewes	High Hopes
Danny Trejo	High Hopes
Mark Boone Junior	Missing Pieces
Christopher Walken	Jungle Juice
Morgan Freeman	Olympus Has Fallen
Robert Forster	Olympus Has Fallen
Melissa Leo	Olympus Has Fallen
Dakota Fanning	Night Moves
Jesse Eisenberg	Night Moves
Michael Shannon	Marvelous
Molly Shannon	More of Me
Michael Shannon	Water
Kevin Corrigan	And/Or
Keith David	The Proud Family Movie
Carlos Alazraqui	The Proud Family Movie
James Franco	The Ape
Richard Tyson	3 Days Gone
Christopher Plummer	Emotional Arithmetic
Susan Sarandon	Emotional Arithmetic
Billy Crudup	Dedication
Tom Wilkinson	Dedication
Bobby Cannavale	Dedication
Noah Segan	All About Evil
Johnny Depp	Deep Sea 3D
Aidan Quinn	Wild Child
Juno Temple	Wild Child
Naomi Watts	The International
Michael Rooker	Skeleton Man
Sam Rockwell	Choke
Carlos Alazraqui	Batman: Under the Red Hood
Carlos Alazraqui	Batman: Under the Red Hood
Carlos Alazraqui	Batman: Under the Red Hood
Alfred Molina	The Tempest
Helen Mirren	The Tempest
David Strathairn	The Tempest
George Clooney	Sand and Sorrow
Chazz Palminteri	Once More with Feeling
Ryan Reynolds	School of Life
Tom Sizemore	No Rules
Robin Williams	Old Dogs
Justin Long	Old Dogs
Richard Jenkins	The Cabin in the Woods
Robin Williams	World's Greatest Dad
Tom Kenny	World's Greatest Dad
Anthony Hopkins	Thor
John Cusack	The Factory
Johnny Depp	Rango
Beth Grant	Rango
Alfred Molina	Rango
Jesse Eisenberg	Rio
Jamie Foxx	Rio
Tracy Morgan	Rio
Patrick Warburton	Space Chimps
Stanley Tucci	Space Chimps
Carlos Alazraqui	Space Chimps
Jane Lynch	Space Chimps
Sam Rockwell	Joshua
Vera Farmiga	Joshua
Tony Todd	Shadow Puppets
Christopher Plummer	Up
John Leguizamo	Vanishing on 7th Street
Martin Sheen	The Way
Michael Sheen	Beautiful Boy
Maria Bello	Beautiful Boy
Lucy Punch	Powers
Vinnie Jones	Powers
Jeffrey Dean Morgan	The Courier
David Jensen	The Courier
Ray Wise	Love in the Hamptons
Robert Duvall	Mississippi Wild
Bill Hader	The Skeleton Twins
Christian Slater	Guns, Girls and Gambling
Gary Oldman	Guns, Girls and Gambling
Denis O'Hare	C.O.G.
Terrence Howard	Pride
Tom Arnold	Pride
Jessica Biel	Hole in the Paper Sky
James Franco	Grasshopper
Daniel Roebuck	The Lost Skeleton Returns Again
Michael Madsen	The Brazen Bull
Eric Roberts	The Whole Truth
Sean Patrick Flanery	The Whole Truth
Ron Jeremy	Under the Gaydar
Chris Evans	A Many Splintered Thing
Michelle Monaghan	A Many Splintered Thing
Patrick Warburton	A Many Splintered Thing
Anthony Mackie	A Many Splintered Thing
Luke Wilson	A Many Splintered Thing
Philip Baker Hall	A Many Splintered Thing
M. C. Gainey	The Babymakers
Harrison Ford	Paranoia
Gary Oldman	Paranoia
Ving Rhames	Death Race 3: Inferno
Danny Trejo	Death Race 3: Inferno
John Heard	Would You Rather
Danny Glover	Hannah's Law
Tracy Morgan	Are We There Yet
John Leguizamo	Assault on Precinct 13
Maria Bello	Assault on Precinct 13
Rosario Dawson	Clerks II
Jason Mewes	Clerks II
Samuel L. Jackson	Coach Carter
Channing Tatum	Coach Carter
Johnny Depp	Corpse Bride
Samuel L. Jackson	Freedomland
Julianne Moore	Freedomland
Owen Wilson	Wedding Crashers
Vince Vaughn	Wedding Crashers
Christopher Walken	Wedding Crashers
Rachel McAdams	Wedding Crashers
Bradley Cooper	Wedding Crashers
Nicolas Cage	The Ant Bully
Paul Giamatti	The Ant Bully
Kathy Bates	Guilty Hearts
Bruce Willis	Assassination of a High School President
Eric Roberts	Dark Honeymoon
Rance Howard	The Trial
Brett Rice	The Trial
Robert Forster	The Trial
Bob Gunton	The Trial
Bonnie Johnson	The Trial
Tom Sizemore	Quad
Vinnie Jones	The Condemned
Joel David Moore	Janie Jones
Judy Greer	Peep World
Taraji P. Henson	Peep World
Stephen Tobolowsky	Peep World
David Carradine	Dead &amp; Breakfast
Jeremy Sisto	Dead &amp; Breakfast
Jeffrey Dean Morgan	Dead &amp; Breakfast
Samuel L. Jackson	Farce of the Penguins
Tracy Morgan	Farce of the Penguins
David Koechner	Farce of the Penguins
Patrick Wilson	Hard Candy
Leonardo DiCaprio	Blood Diamond
Michael Sheen	Blood Diamond
Thomas Lennon	The Godfather of Green Bay
Stephen Root	Bob Funk
Anthony Mackie	Runner, Runner
John Heard	Runner, Runner
Bob Gunton	Runner, Runner
Chris Mulkey	The Purge
Julianne Moore	The English Teacher
Frank Welker	Scooby-Doo! in Where's My Mummy?
Ron Perlman	Scooby-Doo! in Where's My Mummy?
Ron Perlman	Scooby-Doo! in Where's My Mummy?
Frank Welker	Scooby-Doo! in Where's My Mummy?
Lance Henriksen	The Penitent Man
Fred Willard	Lilly's Light
Liev Schreiber	Secrets of the Dead: China's Terracotta Warriors
Michael Madsen	Dirty Little Trick
Dean Cain	Dirty Little Trick
Michael Madsen	Lionhead
Ray Wise	Lionhead
Richard Riehle	Lionhead
Daniel Roebuck	Lionhead
Michael Madsen	Refuge from the Storm
Michael Madsen	Don't Pass Me By
C. Thomas Howell	Don't Pass Me By
Michael Madsen	The Witching Hour
Tony Todd	The Witching Hour
Michael Madsen	Trophy
Eric Roberts	Trophy
Michael Madsen	Road Raiders
Michael Madsen	Joshua Tree
Vincent Pastore	Joshua Tree
Steven Bauer	Joshua Tree
Michael Madsen	The Portal
Michael Madsen	Creepshow Raw: Insomnia
Helen Mirren	Shadowboxer
Joseph Gordon-Levitt	Shadowboxer
Stephen Dorff	Shadowboxer
Chris Mulkey	The Curiosity of Chance
George Clooney	Michael Clayton
Tom Wilkinson	Michael Clayton
Denis O'Hare	Michael Clayton
Steve Carell	Horton Hears a Who!
Jim Carrey	Horton Hears a Who!
Will Arnett	Horton Hears a Who!
Amy Poehler	Horton Hears a Who!
Seth Rogen	Horton Hears a Who!
Jonah Hill	Horton Hears a Who!
Denis O'Hare	A Mighty Heart
John Heard	Mind the Gap
Vera Farmiga	Mind the Gap
David Cross	Dirty Old Town
Seymour Cassel	Freerunner
Tony Hale	Sironia
Jeremy Sisto	Sironia
John Heard	Steel City
Stephen McHattie	Diamonds (US)
Malcolm McDowell	I'll Sleep When I'm Dead
Danny Huston	You Don't Know Jack
John Goodman	You Don't Know Jack
Al Pacino	You Don't Know Jack
Susan Sarandon	You Don't Know Jack
Morgan Freeman	All About Us
Amy Poehler	25 Years of Improv Comedy
David Koechner	25 Years of Improv Comedy
Michael Caine	Mr. Morgan's Last Love
Liev Schreiber	Oil Storm
Lance E. Nichols	Oil Storm
Frank Welker	Scooby-Doo! Legend of the Phantosaur
Fred Willard	Scooby-Doo! Legend of the Phantosaur
Malcolm McDowell	Zombex
Scarlett Johansson	Under the Skin
Mel Gibson	Get the Gringo
Bob Gunton	Get the Gringo
Robert Patrick	Mr. Sophistication
Bruce McGill	Mr. Sophistication
Jason Statham	Echelon
Jason Statham	Parker
Tom Wilkinson	The Debt
Helen Mirren	The Debt
Ciar?n Hinds	The Debt
Jessica Chastain	The Debt
Daniel Craig	The Girl with the Dragon Tattoo
Robin Wright	The Girl with the Dragon Tattoo
Christopher Plummer	The Girl with the Dragon Tattoo
Naomi Watts	You Will Meet a Tall Dark Stranger
Anthony Hopkins	You Will Meet a Tall Dark Stranger
Josh Brolin	You Will Meet a Tall Dark Stranger
Lucy Punch	You Will Meet a Tall Dark Stranger
Elaine Hendrix	Down the P.C.H.
Lin Shaye	Down the P.C.H.
David Carradine	Dark Fields
Dee Wallace	Dark Fields
50 Cent	50 Cent: The Massacre
Jeremy Sisto	Unknown
Sean Astin	Borderland
Carmen Electra	Meet the Spartans
Naomi Watts	The Ring 3D
Brian Cox	The Ring 3D
Russell Crowe	Tenderness
J.D. Evermore	The Mechanic
Ben Foster	The Mechanic
Christa Campbell	The Mechanic
Jason Statham	The Mechanic
Jeff Chase	The Mechanic
Danny McBride	Fight for Your Right Revisited
Seth Rogen	Fight for Your Right Revisited
Will Ferrell	Fight for Your Right Revisited
John C. Reilly	Fight for Your Right Revisited
Rashida Jones	Fight for Your Right Revisited
Adam Scott	Fight for Your Right Revisited
Susan Sarandon	Fight for Your Right Revisited
Will Arnett	Fight for Your Right Revisited
Stanley Tucci	Fight for Your Right Revisited
Steve Buscemi	Fight for Your Right Revisited
Amy Poehler	Fight for Your Right Revisited
Mary Steenburgen	Fight for Your Right Revisited
David Cross	Fight for Your Right Revisited
Martin Starr	Fight for Your Right Revisited
Julianne Moore	Crazy, Stupid, Love.
Steve Carell	Crazy, Stupid, Love.
Kevin Bacon	Crazy, Stupid, Love.
John Carroll Lynch	Crazy, Stupid, Love.
Val Kilmer	The Fourth Dimension
Lacey Chabert	Hello Sister, Goodbye Life
Ray Liotta	Snowmen
Christopher Lloyd	Snowmen
Richard Jenkins	Waiting for Forever
Rip Torn	Johnny Kidd
Joel David Moore	El Muerto
Owen Wilson	The Darjeeling Limited
Bill Murray	The Darjeeling Limited
Lucy Punch	Ella Enchanted
Steve Coogan	Ella Enchanted
Vivica A. Fox	Ella Enchanted
Danny Trejo	Slayer
Michael Madsen	L.A. Dicks Agency
Beth Grant	Mystery Woman: Mystery Weekend
Malcolm McDowell	Mind's Eye
Malcolm McDowell	Mischief Night
Malcolm McDowell	L.A., I Hate You
James Duval	Caller ID
Vincent Pastore	Fickle
Michael Madsen	Loosies
Bruce Davison	The Millionaire Tour
Michael Clarke Duncan	The Golden Blaze
Michael Clarke Duncan	The Golden Blaze
Ron Jeremy	Charlie's Death Wish
Kevin Bacon	Saving Angelo
Rachel McAdams	About Time
William Sadler	Machete Kills
Jessica Alba	Machete Kills
Mel Gibson	Machete Kills
Danny Trejo	Machete Kills
Lin Shaye	Big Ass Spider
Ray Wise	Big Ass Spider
Wallace Shawn	Howard Zinn: Voices of a People's History of the USA
Michael Madsen	Eyes Front
C. Thomas Howell	Glass Trap
Rosario Dawson	Rent
Patrick Warburton	Get Smart's Bruce &amp; Lloyd Out of Control
Tom Wilkinson	The Green Hornet
Christoph Waltz	The Green Hornet
Seth Rogen	The Green Hornet
Aidan Quinn	Unknown
Michael Douglas	King of California
James Cromwell	Tortured
Kevin Corrigan	Big Fan
Vinnie Jones	The Heavy
Kevin Bacon	Forces of Nature
Jason Statham	Redemption
Jeff Bennett	Scooby-Doo! Music of the Vampire
Dakota Fanning	Cutlass
Kristen Stewart	Cutlass
Ron Jeremy	Midgets Vs. Mascots
Jason Mewes	Midgets Vs. Mascots
Danny Glover	Saw
Christa Campbell	Gimme Shelter
Fred Willard	Max Rose
Rance Howard	Max Rose
Patrick Warburton	The President Hasn't Seen Rocky
Patrick Warburton	Rollercaster Safety with Patrick Warburton
Rip Torn	Forty Shades of Blue
Johnny Depp	When You're Strange
Rance Howard	Play the Game
Clint Howard	Play the Game
Jennifer Aniston	Life of Crime
Mark Boone Junior	Life of Crime
Will Forte	Life of Crime
Tim Robbins	Life of Crime
Sam Rockwell	Woman In Burka
James Duval	Naked Angel
Matthew McConaughey	The Dry Gulch Kid
William H. Macy	A Single Shot
Sam Rockwell	A Single Shot
Jeffrey Wright	A Single Shot
Naomi Watts	J. Edgar
Leonardo DiCaprio	J. Edgar
Josh Lucas	J. Edgar
Dermot Mulroney	J. Edgar
Stephen Root	J. Edgar
John C. Reilly	Prop 8: The Musical
Ron Jeremy	The Wickeds
Michael Rooker	Chasing Ghosts
Danny Trejo	Chasing Ghosts
Lochlyn Munro	Chasing Ghosts
James Duval	Chasing Ghosts
Michael Madsen	Chasing Ghosts
Jeffrey Dean Morgan	Chasing Ghosts
Owen Wilson	Mater and the Ghostlight
