Matt Walsh	Queens of Country
Martin Starr	Save the Date
Ron Perlman	Frankie Go Boom
Stephen Dorff	Officer Down
Diora Baird	Night of the Demons
Lance E. Nichols	Night of the Demons
Jeremy Irons	Georgia O'Keeffe
Michelle Monaghan	Boot Tracks
Stephen Dorff	Boot Tracks
Willem Dafoe	Boot Tracks
Elaine Hendrix	Rock Slyde
Eric Roberts	Rock Slyde
Patrick Warburton	Rock Slyde
Glenn Morshower	Fire from Below
Glenn Morshower	Fire from Below
Kevin Durand	The Goodbye Girl
Jeff Bennett	Penguins of Madagascar: Happy King Julien Day!
Robert Patrick	Caged Animal
Ving Rhames	Caged Animal
Molly Shannon	Year of the Dog
John C. Reilly	Year of the Dog
Bradley Cooper	Case 39
Marc Macaulay	Premonition
Ritchie Montgomery	Premonition
Fred Willard	WALL-E
Sigourney Weaver	WALL-E
Robert Forster	The Hunt for the BTK Killer
James Franco	Spring Breakers
Sean Patrick Flanery	Scavengers
Sean Patrick Flanery	Tranny Trainer
Sean Patrick Flanery	InSight
Christopher Lloyd	InSight
Daniel Roebuck	InSight
Rance Howard	InSight
Sean Patrick Flanery	A Crush on You
Michael Clarke Duncan	A Crush on You
Clint Eastwood	Cannes: All Access
Olivia Wilde	People Like Us
Elizabeth Banks	People Like Us
Philip Baker Hall	People Like Us
Steve Carell	Seeking a Friend for the End of the World
Melanie Lynskey	Seeking a Friend for the End of the World
Rob Corddry	Seeking a Friend for the End of the World
Rob Huebel	Seeking a Friend for the End of the World
Martin Sheen	Seeking a Friend for the End of the World
Clifton Powell	Gangsta Rap: The Glockumentary
Brian Cox	Marple: They Do It with Mirrors
Ed Harris	Phantom
Sean Patrick Flanery	Phantom
Lance Henriksen	Phantom
Keith David	The Last Fall
Paul Dano	For Ellen
David Carradine	Max Havoc: Curse of the Dragon
Carmen Electra	Max Havoc: Curse of the Dragon
Melanie Lynskey	Park
Carmen Electra	Monster Island
Joel David Moore	Wieners
Chris Pratt	Wieners
Eric Roberts	Westbrick Murders
Javier Bardem	Zoom In: Stories Behind the 2007 Gotham Awards
Hugh Jackman	Van Helsing: The London Assignment
Christopher Plummer	Man in the Chair
Cloris Leachman	The Californians
Jane Lynch	The Californians
Robert Redford	Sacred Planet
Vincent Pastore	Red Herring
Vinnie Jones	Hijacked
Patrick Warburton	The Little Engine That Could
Jeff Bennett	The Little Engine That Could
Jeff Bennett	The Little Engine That Could
Tony Todd	The Man from Earth
Richard Riehle	The Man from Earth
Noel Gugliemi	Gangs of the Dead
Elias Koteas	Prisoner
Bob Gunton	24: Redemption
Jon Voight	24: Redemption
Tony Todd	24: Redemption
Jon Voight	24: Redemption
David Jensen	The Last Exorcism Part II
Joe Chrest	The Last Exorcism Part II
John Goodman	The Gatekeeper
Ron Perlman	The Gatekeeper
Mike Epps	Mac &amp; Devin Go to High School
Snoop Dogg	Mac &amp; Devin Go to High School
Lance Henriksen	Abominable
Dee Wallace	Abominable
Paul Rudd	The Perks of Being a Wallflower
Melanie Lynskey	The Perks of Being a Wallflower
Alec Baldwin	Wind
Anthony Hopkins	The Third Rule
Joel David Moore	The Third Rule
Ben Kingsley	The Last Voyage of Demeter
Christopher Walken	The Gift Horse
James Russo	The Gift Horse
Ryan Reynolds	Fireflies in the Garden
Michael Sheen	Frost/Nixon
Toby Jones	Frost/Nixon
Sam Rockwell	Frost/Nixon
Oliver Platt	Frost/Nixon
Kevin Bacon	Frost/Nixon
Clint Howard	Frost/Nixon
Colin Firth	A Christmas Carol
Robin Wright	A Christmas Carol
Gary Oldman	A Christmas Carol
Gary Oldman	A Christmas Carol
Gary Oldman	A Christmas Carol
Robin Wright	A Christmas Carol
Will Ferrell	Melinda and Melinda
Wallace Shawn	Melinda and Melinda
Steve Carell	Melinda and Melinda
Josh Brolin	Melinda and Melinda
Alan Arkin	The Santa Clause 3: The Escape Clause
Bonnie Johnson	The Pigs
Kathy Bates	Personal Effects
Daniel Craig	Cowboys &amp; Aliens
Olivia Wilde	Cowboys &amp; Aliens
Sam Rockwell	Cowboys &amp; Aliens
Paul Dano	Cowboys &amp; Aliens
Harrison Ford	Cowboys &amp; Aliens
Tom Kenny	Winnie the Pooh
Tom Kenny	The Powerpuff Girls Rule!!!
Tom Kenny	The Powerpuff Girls Rule!!!
Tom Kenny	The Powerpuff Girls Rule!!!
Jeff Bennett	The Powerpuff Girls Rule!!!
Jeff Bennett	The Powerpuff Girls Rule!!!
Jeff Bennett	The Powerpuff Girls Rule!!!
Brad Dourif	Sinner
David Cross	Secrets of the Furious Five
Dustin Hoffman	Secrets of the Furious Five
Michael Madsen	Shannon's Rainbow
Eric Roberts	Shannon's Rainbow
Matt Walsh	Mystery Team
Snoop Dogg	Hip Hop Story 3: Coast to Coast
50 Cent	Hip Hop Story 3: Coast to Coast
Dwayne Johnson	Why Did I Get Married Too?
Aasif Mandvi	Today's Special
Kevin Corrigan	Today's Special
Seymour Cassel	Big Heart City
Heather Graham	Cake
Tom Kenny	Immigrants
Liev Schreiber	Surviving the Dust Bowl
Keith David	Unforgivable Blackness
Samuel L. Jackson	Unforgivable Blackness
Brian Cox	Unforgivable Blackness
Ed Harris	Unforgivable Blackness
Jeffrey Wright	Unforgivable Blackness
Vera Farmiga	The Hard Easy
Tom Wilkinson	Vivaldi
Alfred Molina	Vivaldi
Danny Trejo	Amelia's 25th
James Duval	Amelia's 25th
James Russo	Samuel Bleak
Keith David	Samuel Bleak
Richard Jenkins	The Visitor
Richard Kind	The Visitor
John Leguizamo	The Take
Bobby Cannavale	The Take
Val Kilmer	Conspiracy
Ben Stiller	King of the Elves
Jeff Bennett	King of the Elves
Robert Patrick	Five Minarets in New York
Gina Gershon	Five Minarets in New York
Danny Glover	Five Minarets in New York
Melissa Leo	Stephanie's Image
Snoop Dogg	Arthur and the Invisibles
Robert De Niro	Arthur and the Invisibles
Adam LeFevre	Arthur and the Invisibles
Chazz Palminteri	Arthur and the Invisibles
Jason Bateman	Arthur and the Invisibles
Rob Corddry	Arthur and the Invisibles
Bruce McGill	Unconditional
Christa Campbell	Death by Engagement
Bobby Cannavale	Apples
Adam Scott	When Harry Met Sally 2 with Billy Crystal and Helen Mirren
Rob Riggle	When Harry Met Sally 2 with Billy Crystal and Helen Mirren
Helen Mirren	When Harry Met Sally 2 with Billy Crystal and Helen Mirren
Liev Schreiber	Mental
Liev Schreiber	Felt
James Marsden	Robot and Frank
Susan Sarandon	Robot and Frank
Jeremy Sisto	Robot and Frank
M. C. Gainey	Tripping Forward
Vincent Pastore	Return to Sleepaway Camp
Aidan Quinn	Cavedweller
Kevin Bacon	Cavedweller
Christopher McDonald	Splinterheads
Michael Biehn	The Divide
